country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AFG_CHN,2009,0.0029054452,8.151422,5.898967,21.004417,17.137747,8.338171,4.630288313,1.787371295
AFG_CHN,2010,-0.10732497,8.251204,6.0823927,21.009392,17.161716,8.338171,5.418962124,1.211467564
AFG_CHN,2011,0.7540002,8.422982,6.297667,21.014221,17.189182,8.338171,5.431603844,5.380667663
AFG_CHN,2012,0.7206867,8.633755,6.3820906,21.019012,17.220613,8.338171,6.443186193,2.052874725
AFG_DNK,2010,-0.56300384,10.971009,6.0823927,15.524449,17.161716,8.488318,24.27312947,1.211467564
AFG_ITA,2010,-5.3160286,10.518047,6.0823927,17.894663,17.161716,8.50431,19.81482353,1.211467564
AFG_ITA,2011,-4.5767703,10.487082,6.297667,17.89774,17.189182,8.50431,19.85822498,5.380667663
AFG_USA,2009,-4.098746,10.786895,5.898967,19.532846,17.137747,9.291725,7.732597241,1.787371295
AFG_USA,2010,-4.1361823,10.760028,6.0823927,19.541615,17.161716,9.291725,8.652186927,1.211467564
AFG_USA,2011,-4.2897043,10.788635,6.297667,19.549906,17.189182,9.291725,9.009683132,5.380667663
AFG_USA,2012,-4.3601794,10.817438,6.3820906,19.557167,17.220613,9.291725,8.619429825,2.052874725
ALB_AUT,2008,1.0189906,10.754829,8.187309,15.931222,14.9040785,6.7006483,19.40548895,8.018540077
ALB_BGR,2008,-1.4987059,8.680324,8.187309,15.83644,14.9040785,5.780887,10.12206016,8.018540077
ALB_CHE,2008,0.7132249,11.059665,8.187309,15.837206,14.9040785,7.0630345,11.74385063,8.018540077
ALB_DEU,2008,-0.01710131,10.641006,8.187309,18.225473,14.9040785,7.308607,18.74201724,8.018540077
ALB_EGY,2008,-4.206756,7.4192867,8.187309,18.175192,14.9040785,7.392234,10.94322044,8.018540077
ALB_FRA,2008,-1.0287023,10.633652,8.187309,17.974648,14.9040785,7.3799653,21.66630609,8.018540077
ALB_GBR,2008,-3.1081438,10.82563,8.187309,17.931656,14.9040785,7.5471563,14.26190541,8.018540077
ALB_GRC,2008,2.131838,10.269079,8.187309,16.217802,14.9040785,6.214856,15.71069426,8.018540077
ALB_HRV,2008,-3.513609,9.543141,8.187309,15.276499,14.9040785,6.373245,13.70755161,8.018540077
ALB_ITA,2008,1.5646851,10.537383,8.187309,17.883482,14.9040785,6.416344,17.53495229,8.018540077
ALB_NLD,2008,1.0296859,10.85386,8.187309,16.611675,14.9040785,7.4174695,14.41994929,8.018540077
ALB_USA,2008,0.11073206,10.778456,8.187309,19.523388,14.9040785,8.914577,6.712153959,8.018540077
AUS_BEL,2009,4.0677714,10.787763,10.81178,16.186686,16.87183,9.726727,17.4034502,8.76974511
AUS_BEL,2010,4.2781706,10.7117605,10.663648,16.194733,16.89244,9.726727,19.09745657,10.80715653
AUS_BEL,2011,4.225041,10.700548,10.859425,16.203869,16.907995,9.726727,18.79569981,8.955661015
AUS_BEL,2012,4.2047157,10.773604,11.043207,16.216879,16.92189,9.726727,18.9746958,8.953327961
AUS_CHE,2005,4.803183,10.884444,10.323207,15.815588,16.817593,9.721558,13.11823211,9.785670229
AUS_CHE,2006,5.1713824,10.9142275,10.434093,15.821994,16.830791,9.721558,12.95402562,9.389974381
AUS_CHE,2007,5.2135773,10.960922,10.492521,15.828269,16.845543,9.721558,12.24180243,9.123021777
AUS_CHE,2008,5.104601,11.059665,10.620353,15.837206,16.85179,9.721558,11.74385063,8.983810536
AUS_CHE,2009,5.2201324,11.1911745,10.81178,15.849913,16.87183,9.721558,11.25197574,8.76974511
AUS_CHE,2010,5.4946737,11.155213,10.663648,15.862407,16.89244,9.721558,12.41128373,10.80715653
AUS_CHE,2011,5.525242,11.219973,10.859425,15.872823,16.907995,9.721558,12.39737421,8.955661015
AUS_CHE,2012,5.515084,11.389804,11.043207,15.883942,16.92189,9.721558,12.25653634,8.953327961
AUS_CHN,2011,5.0620475,8.422982,10.859425,21.014221,16.907995,9.100127,5.431603844,8.955661015
